"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube","Searched for how to get my own youtube watch history data","https://www.youtube.com/results?search_query\u003dhow+to+get+my+own+youtube+watch+history+data","2023-06-13T05:05:03.173Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for sherlock holmes 2 forest scene ","https://www.youtube.com/results?search_query\u003dsherlock+holmes+2+forest+scene+","2023-06-13T03:06:40.690Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Watched Google Fiber Webpass - We\u0027re expanding in Seattle","https://www.youtube.com/watch?v\u003dIEwl7VcXEhw","2023-06-12T23:19:37.052Z","[\"YouTube\"]","[\"Web \\u0026 App Activity\",\"YouTube watch history\",\"YouTube search history\"]","Watched at 4:19 PM","[{\"name\":\"From Google Ads\"}]",
"YouTube","Watched DNU Coding Dojo | Learn Skills for Web Dev, Cybersecurity, Data Science in 16+ Weeks!","https://www.youtube.com/watch?v\u003doI8QFcn8fAM","2023-06-12T23:16:23.084Z","[\"YouTube\"]","[\"Web \\u0026 App Activity\",\"YouTube watch history\",\"YouTube search history\"]","Watched at 4:16 PM","[{\"name\":\"From Google Ads\"}]",
"YouTube","Watched Pixel 7 Pro - Macro Focus \u0026 Super Res Zoom [US]","https://www.youtube.com/watch?v\u003dj3gvPOK6gc0","2023-06-12T23:07:50.992Z","[\"YouTube\"]","[\"Web \\u0026 App Activity\",\"YouTube watch history\",\"YouTube search history\"]","Watched at 4:07 PM","[{\"name\":\"From Google Ads\"}]",
"YouTube","Searched for animation competion","https://www.youtube.com/results?search_query\u003danimation+competion","2023-06-12T04:12:07.039Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for flower jisoo","https://www.youtube.com/results?search_query\u003dflower+jisoo","2023-06-12T02:14:05.678Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for build a data science portfolio","https://www.youtube.com/results?search_query\u003dbuild+a+data+science+portfolio","2023-06-12T01:15:33.822Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for flower jisoo song","https://www.youtube.com/results?search_query\u003dflower+jisoo+song","2023-06-12T01:08:34.138Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for  siri pro mode on mac","https://www.youtube.com/results?search_query\u003d+siri+pro+mode+on+mac","2023-06-11T23:19:33.126Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for building a chatgpt siri on mac","https://www.youtube.com/results?search_query\u003dbuilding+a+chatgpt+siri+on+mac","2023-06-11T23:17:06.604Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for building a chatgpt siri","https://www.youtube.com/results?search_query\u003dbuilding+a+chatgpt+siri","2023-06-11T23:13:49.289Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Mckay Wrigley","https://www.youtube.com/results?search_query\u003dMckay+Wrigley","2023-06-11T23:08:02.980Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for discord incall remix","https://www.youtube.com/results?search_query\u003ddiscord+incall+remix","2023-06-11T01:05:00.816Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for yale","https://www.youtube.com/results?search_query\u003dyale","2023-06-11T00:38:44.844Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for UW student building manager","https://www.youtube.com/results?search_query\u003dUW+student+building+manager","2023-06-10T05:55:36.302Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for student building manager vlog","https://www.youtube.com/results?search_query\u003dstudent+building+manager+vlog","2023-06-10T05:53:11.599Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for student building manager","https://www.youtube.com/results?search_query\u003dstudent+building+manager","2023-06-10T05:52:57.991Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for zombie escape tohou","https://www.youtube.com/results?search_query\u003dzombie+escape+tohou","2023-06-08T22:48:58.514Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for zombie escape tohu","https://www.youtube.com/results?search_query\u003dzombie+escape+tohu","2023-06-08T22:48:43.288Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for grandpa reads the comics","https://www.youtube.com/results?search_query\u003dgrandpa+reads+the+comics","2023-06-08T22:45:01.131Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for uwu","https://www.youtube.com/results?search_query\u003duwu","2023-06-08T21:55:19.662Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 波拉特","https://www.youtube.com/results?search_query\u003d%E6%B3%A2%E6%8B%89%E7%89%B9","2023-06-08T21:30:34.553Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for hong ma","https://www.youtube.com/results?search_query\u003dhong+ma","2023-06-08T07:03:15.626Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 红马","https://www.youtube.com/results?search_query\u003d%E7%BA%A2%E9%A9%AC","2023-06-08T07:02:20.281Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 抖音汉服","https://www.youtube.com/results?search_query\u003d%E6%8A%96%E9%9F%B3%E6%B1%89%E6%9C%8D","2023-06-08T07:00:20.990Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for douyin","https://www.youtube.com/results?search_query\u003ddouyin","2023-06-08T07:00:03.173Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
